title,price,rating,reviews,availability
GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA,"₹3,136.00",4.5 out of 5 stars,204 ratings,In stock
Google Cloud Platform for Data Engineering: Learn fundamental to advanced data engineering concepts and techniques using 30+ real-world use cases,,3.3 out of 5 stars,3 ratings,
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,228.00",4.7 out of 5 stars,13 ratings,In stock
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
"Professional Cloud Architect – Google Cloud Certification Guide: A handy guide to designing, developing, and managing enterprise-grade GCP cloud solutions","₹2,601.00",4.3 out of 5 stars,55 ratings,In stock
Google Certified Professional Data Engineer: Exam Cram Notes: First Edition - 2022,,,,
GCP Associate Cloud Engineer - Question With Answer [All MCQ]: 100% Guarantee You Will Pass The Examination,,3.8 out of 5 stars,6 ratings,
"Big Data and Analytics, 2ed | IM | BS | e",₹568.00,4.4 out of 5 stars,96 ratings,In stock
"Google Cloud Certified Associate Cloud Engineer St udy Guide, 2nd edition","₹3,509.00",4.7 out of 5 stars,11 ratings,
"Software Engineering, 10/e",₹689.00,4.2 out of 5 stars,169 ratings,
Google Cloud Platform for Data Engineering: Learn fundamental to advanced data engineering concepts and techniques using 30+ real-world use cases,,3.3 out of 5 stars,3 ratings,
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,228.00",4.7 out of 5 stars,13 ratings,In stock
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
"GOOGLE PROFESSIONAL DATA ENGINEER: A handy guide to designing, developing, and managing engineer data solutions",,3.6 out of 5 stars,4 ratings,
"Professional Cloud Architect – Google Cloud Certification Guide: A handy guide to designing, developing, and managing enterprise-grade GCP cloud solutions","₹2,601.00",4.3 out of 5 stars,55 ratings,In stock
BigQuery for Data Warehousing: Managed Data Analysis in the Google Cloud,"₹4,521.00",3.2 out of 5 stars,5 ratings,In stock
Writing and Managing SOPs for GCP,,3.9 out of 5 stars,3 ratings,
GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA,"₹3,136.00",4.5 out of 5 stars,204 ratings,In stock
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,228.00",4.7 out of 5 stars,13 ratings,In stock
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
"GOOGLE PROFESSIONAL DATA ENGINEER: A handy guide to designing, developing, and managing engineer data solutions",,3.6 out of 5 stars,4 ratings,
Google Certified Professional Data Engineer: Exam Cram Notes: First Edition - 2022,,,,
"Google Cloud Certified Associate Cloud Engineer St udy Guide, 2nd edition","₹3,509.00",4.7 out of 5 stars,11 ratings,
Writing and Managing SOPs for GCP,,3.9 out of 5 stars,3 ratings,
GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA,"₹3,136.00",4.5 out of 5 stars,204 ratings,In stock
Google Cloud Platform for Data Engineering: Learn fundamental to advanced data engineering concepts and techniques using 30+ real-world use cases,,3.3 out of 5 stars,3 ratings,
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,228.00",4.7 out of 5 stars,13 ratings,In stock
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
"GOOGLE PROFESSIONAL DATA ENGINEER: A handy guide to designing, developing, and managing engineer data solutions",,3.6 out of 5 stars,4 ratings,
Succeed With Google Cloud Professional Data Engineer Certification Guide That Works For All: Questions and Answers With Detailed Explanation (Google Cloud ... Engineer Certification Preparation Book 2),,5.0 out of 5 stars,5 ratings,
GCP Associate Cloud Engineer - Question With Answer [All MCQ]: 100% Guarantee You Will Pass The Examination,,3.8 out of 5 stars,6 ratings,
"Big Data and Analytics, 2ed | IM | BS | e",₹568.00,4.4 out of 5 stars,96 ratings,In stock
"Google Cloud Certified Associate Cloud Engineer St udy Guide, 2nd edition","₹3,509.00",4.7 out of 5 stars,11 ratings,
Data Analytics with Google Cloud Platform,₹719.00,3.7 out of 5 stars,32 ratings,In stock
"Software Engineering, 10/e",₹689.00,4.2 out of 5 stars,169 ratings,
Google Cloud Platform for Data Engineering: Learn fundamental to advanced data engineering concepts and techniques using 30+ real-world use cases,,3.3 out of 5 stars,3 ratings,
Pass Google Cloud Professional Data Engineer Certification- An Incredibly Easy Method: Questions and Answers With Detailed Explanation (Google Cloud Professional ... Engineer Certification Preparation Book 1),,5.0 out of 5 stars,3 ratings,
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
"Professional Cloud Architect – Google Cloud Certification Guide: A handy guide to designing, developing, and managing enterprise-grade GCP cloud solutions","₹2,601.00",4.3 out of 5 stars,55 ratings,In stock
Google Certified Professional Data Engineer: Exam Cram Notes: First Edition - 2022,,,,
"Big Data and Analytics, 2ed | IM | BS | e",₹568.00,4.4 out of 5 stars,96 ratings,In stock
BigQuery for Data Warehousing: Managed Data Analysis in the Google Cloud,"₹4,521.00",3.2 out of 5 stars,5 ratings,In stock
"Google Cloud Certified Associate Cloud Engineer St udy Guide, 2nd edition","₹3,509.00",4.7 out of 5 stars,11 ratings,
Data Analytics with Google Cloud Platform,₹719.00,3.7 out of 5 stars,32 ratings,In stock
Writing and Managing SOPs for GCP,,3.9 out of 5 stars,3 ratings,
GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA,"₹3,136.00",4.5 out of 5 stars,204 ratings,In stock
Pass Google Cloud Professional Data Engineer Certification- An Incredibly Easy Method: Questions and Answers With Detailed Explanation (Google Cloud Professional ... Engineer Certification Preparation Book 1),,5.0 out of 5 stars,3 ratings,
Google Certified Professional Data Engineer: Exam Cram Notes: First Edition - 2022,,,,
"Big Data and Analytics, 2ed | IM | BS | e",₹568.00,4.4 out of 5 stars,96 ratings,In stock
Data Analytics with Google Cloud Platform,₹719.00,3.7 out of 5 stars,32 ratings,In stock
Writing and Managing SOPs for GCP,,3.9 out of 5 stars,3 ratings,
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,228.00",4.7 out of 5 stars,13 ratings,In stock
Pass Google Cloud Professional Data Engineer Certification- An Incredibly Easy Method: Questions and Answers With Detailed Explanation (Google Cloud Professional ... Engineer Certification Preparation Book 1),,5.0 out of 5 stars,3 ratings,
google cloud professional data engineer mogi mondaishu cloud nintei mogimondaisyu series (Japanese Edition),,3.7 out of 5 stars,9 ratings,
Succeed With Google Cloud Professional Data Engineer Certification Guide That Works For All: Questions and Answers With Detailed Explanation (Google Cloud ... Engineer Certification Preparation Book 2),,5.0 out of 5 stars,5 ratings,
Google Certified Professional Data Engineer: Exam Cram Notes: First Edition - 2022,,,,
GCP Associate Cloud Engineer - Question With Answer [All MCQ]: 100% Guarantee You Will Pass The Examination,,3.8 out of 5 stars,6 ratings,
"Big Data and Analytics, 2ed | IM | BS | e",₹568.00,4.4 out of 5 stars,96 ratings,In stock
BigQuery for Data Warehousing: Managed Data Analysis in the Google Cloud,"₹4,521.00",3.2 out of 5 stars,5 ratings,In stock
Data Analytics with Google Cloud Platform,₹719.00,3.7 out of 5 stars,32 ratings,In stock
"Software Engineering, 10/e",₹689.00,4.2 out of 5 stars,169 ratings,
Writing and Managing SOPs for GCP,,3.9 out of 5 stars,3 ratings,
